Compared consistency_edges_Covid-19Vaccine_dataset_100_100_100.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.01, Recall=0.18
Compared consistency_edges_Covid-19Vaccine_dataset_100_100_100.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.14, Recall=0.04
Compared consistency_edges_Covid-19Vaccine_dataset_100_100_100.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.02, Recall=0.14
Compared consistency_edges_Covid-19Vaccine_dataset_100_100_2.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.01, Recall=0.23
Compared consistency_edges_Covid-19Vaccine_dataset_100_100_2.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.09, Recall=0.06
Compared consistency_edges_Covid-19Vaccine_dataset_100_100_2.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.01, Recall=0.19
Compared consistency_edges_Covid-19Vaccine_dataset_100_100_51.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.01, Recall=0.20
Compared consistency_edges_Covid-19Vaccine_dataset_100_100_51.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.13, Recall=0.05
Compared consistency_edges_Covid-19Vaccine_dataset_100_100_51.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.02, Recall=0.16
Compared consistency_edges_Covid-19Vaccine_dataset_100_2_100.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.01, Recall=0.27
Compared consistency_edges_Covid-19Vaccine_dataset_100_2_100.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.13, Recall=0.07
Compared consistency_edges_Covid-19Vaccine_dataset_100_2_100.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.02, Recall=0.22
Compared consistency_edges_Covid-19Vaccine_dataset_100_2_2.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.00, Recall=0.38
Compared consistency_edges_Covid-19Vaccine_dataset_100_2_2.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.02, Recall=0.16
Compared consistency_edges_Covid-19Vaccine_dataset_100_2_2.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.00, Recall=0.33
Compared consistency_edges_Covid-19Vaccine_dataset_100_2_51.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.01, Recall=0.31
Compared consistency_edges_Covid-19Vaccine_dataset_100_2_51.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.11, Recall=0.10
Compared consistency_edges_Covid-19Vaccine_dataset_100_2_51.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.01, Recall=0.27
Compared consistency_edges_Covid-19Vaccine_dataset_100_51_100.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.01, Recall=0.21
Compared consistency_edges_Covid-19Vaccine_dataset_100_51_100.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.14, Recall=0.05
Compared consistency_edges_Covid-19Vaccine_dataset_100_51_100.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.02, Recall=0.17
Compared consistency_edges_Covid-19Vaccine_dataset_100_51_2.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.01, Recall=0.28
Compared consistency_edges_Covid-19Vaccine_dataset_100_51_2.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.07, Recall=0.07
Compared consistency_edges_Covid-19Vaccine_dataset_100_51_2.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.01, Recall=0.24
Compared consistency_edges_Covid-19Vaccine_dataset_100_51_51.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.01, Recall=0.23
Compared consistency_edges_Covid-19Vaccine_dataset_100_51_51.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.12, Recall=0.06
Compared consistency_edges_Covid-19Vaccine_dataset_100_51_51.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.02, Recall=0.19
Compared consistency_edges_Covid-19Vaccine_dataset_2_100_100.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.01, Recall=0.29
Compared consistency_edges_Covid-19Vaccine_dataset_2_100_100.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.13, Recall=0.11
Compared consistency_edges_Covid-19Vaccine_dataset_2_100_100.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.01, Recall=0.26
Compared consistency_edges_Covid-19Vaccine_dataset_2_100_2.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.00, Recall=0.56
Compared consistency_edges_Covid-19Vaccine_dataset_2_100_2.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.06, Recall=0.31
Compared consistency_edges_Covid-19Vaccine_dataset_2_100_2.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.00, Recall=0.53
Compared consistency_edges_Covid-19Vaccine_dataset_2_100_51.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.01, Recall=0.35
Compared consistency_edges_Covid-19Vaccine_dataset_2_100_51.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.11, Recall=0.15
Compared consistency_edges_Covid-19Vaccine_dataset_2_100_51.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.01, Recall=0.33
Compared consistency_edges_Covid-19Vaccine_dataset_2_2_100.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.00, Recall=0.65
Compared consistency_edges_Covid-19Vaccine_dataset_2_2_100.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.10, Recall=0.38
Compared consistency_edges_Covid-19Vaccine_dataset_2_2_100.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.01, Recall=0.60
Compared consistency_edges_Covid-19Vaccine_dataset_2_2_2.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.00, Recall=0.75
Compared consistency_edges_Covid-19Vaccine_dataset_2_2_2.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.02, Recall=0.49
Compared consistency_edges_Covid-19Vaccine_dataset_2_2_2.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.00, Recall=0.71
Compared consistency_edges_Covid-19Vaccine_dataset_2_2_51.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.00, Recall=0.70
Compared consistency_edges_Covid-19Vaccine_dataset_2_2_51.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.08, Recall=0.41
Compared consistency_edges_Covid-19Vaccine_dataset_2_2_51.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.01, Recall=0.65
Compared consistency_edges_Covid-19Vaccine_dataset_2_51_100.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.01, Recall=0.37
Compared consistency_edges_Covid-19Vaccine_dataset_2_51_100.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.12, Recall=0.16
Compared consistency_edges_Covid-19Vaccine_dataset_2_51_100.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.01, Recall=0.35
Compared consistency_edges_Covid-19Vaccine_dataset_2_51_2.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.00, Recall=0.61
Compared consistency_edges_Covid-19Vaccine_dataset_2_51_2.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.05, Recall=0.33
Compared consistency_edges_Covid-19Vaccine_dataset_2_51_2.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.00, Recall=0.57
Compared consistency_edges_Covid-19Vaccine_dataset_2_51_51.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.00, Recall=0.45
Compared consistency_edges_Covid-19Vaccine_dataset_2_51_51.pkl with pca_edges_Covid-19Vaccine_dataset_2.pkl: Precision=0.11, Recall=0.20
Compared consistency_edges_Covid-19Vaccine_dataset_2_51_51.pkl with pca_edges_Covid-19Vaccine_dataset_51.pkl: Precision=0.01, Recall=0.43
Compared consistency_edges_Covid-19Vaccine_dataset_51_100_100.pkl with pca_edges_Covid-19Vaccine_dataset_100.pkl: Precision=0.01, Recall=0.22
